item,unit,amount
Tea,,
Herbs & Spices,,
Whisky,,
Dried Fruit Nuts,,
Biscuit,,
Olives Pickles Chutneys,,
Beer,,
Seasoning,,
Cakes,,
Coffee,,
Chocolate,,
Vodka,,
Honey,,
Juice Drinks,,
Dog Treats/Snacks,,
Air Fresheners,,
Tissues,,
Bathroom Cleaners,,
Breakfast Cereals,,
Baby Bottles,,
Indian Snacks,,
Rice,,
Noodles,,
Washing Powder,,
Red Wine,,
Ready to Eat,,
Grains,,
Flour,,
Hot Chocolate Drinks,,
Washing Machine Cleaner,,
Patanjali,,
Haldiram's,,
Old Durbar,,
Nestle,,
Johnnie Walker,,
Mumlove,,
Britannia,,
CADBURY,,
Navaras,,
Signature,,
Bakers' Creation,,
NESCAFE,,
Kellogg's,,
Dabur,,
Softy,,
Upakar,,
Ruslan,,
Tokla,,
Fortune,,
Ariel,,
Real,,
Horlicks,,
Bambino,,
Harpic,,
Godrej,,
Palpash,,
Tuborg,,
Bottega,,
Lee Kum Kee,,
Cash On Delivery,,
Fulfilled By Daraz,,
Free Shipping,,
DarazMall,,
Nepal,,
No Warranty,,
Brand Warranty,,
Seller Warranty,,
Local seller warranty,,
100 % original product,,
Blue,,
Multicolor,,
Green,,
Red,,
Brown,,
White,,
Pink,,
Yellow,,
Black,,
Orange,,
Purple,,
Silver,,
Cream,,
Grey,,
Maroon,,
Lemon Yellow,,
Light blue,,
Clear,,
Gold,,
Lake Blue,,
Watermelon red,,
Multi,,
Off White,,
Light green,,
Neutral,,
Teal,,
Dark Brown,,
Light yellow,,
Seasoning,,
Frying,,
Mixing,,
Grilling,,
Baking,,
Marinating,,
Barbecuing,,
Salting,,
Boiling,,
Milling,,
Simmering,,
Roasting,,
Pickling,,
Cutting,,
Chemical techniques,,
Stewing,,
Infusion,,
Pressure Cooking,,
Kathmandu,,
Chocolate,,
Others,,
Other,,
Natural,,
Vanilla,,
Mango,,
Apple,,
Orange,,
Strawberry,,
Mixed,,
Pineapple,,
Guava,,
Wheat Flavor,,
Blueberry,,
Grape,,
Peach,,
Pomegranate flavor,,
Lemon,,
Litchi,,
Cranberry,,
Lychee,,
Coconut,,
Blackcurrant flavor,,
"Oats, Wheat & Prunes",,
Mint,,
Caramel,,
Aloe,,
Honey,,
Yes,,
1 year and above,,
18 months +,,
Above 6 months,,
From 0 month +,,
1.5 to 5 years,,
1 - 4 years,,
9-36 months,,
2-4 years,,
6-12months,,
11 Years or Above,,
3 years and above,,
0 - 4 years,,
From 3 months +,,
Bottled,,
Sachet / Powder,,
Tetra Pak,,
Tin / Powder,,
Canned,,
